Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Los Angeles Clippers,Cleveland Cavaliers,0.4454123112659698,0.5823170731707318,0,0
Toronto Raptors,New York Knicks,0.6517615176151761,0.4815718157181572,1,1
Chicago Bulls,Charlotte Hornets,0.32051282051282054,0.38443670150987225,1,1
Oklahoma City Thunder,San Antonio Spurs,0.5021680216802168,0.6646341463414634,0,0
Dallas Mavericks,Minnesota Timberwolves,0.21747967479674798,0.5704607046070461,1,0
Sacramento Kings,Portland Trail Blazers,0.30785907859078593,0.5222222222222223,1,1
New Orleans Pelicans,Denver Nuggets,0.47154471544715443,0.5626016260162602,0,0
Phoenix Suns,Los Angeles Lakers,0.3328550932568149,0.3556910569105691,0,1
Charlotte Hornets,Los Angeles Clippers,0.41300813008130083,0.42953929539295393,1,1
Orlando Magic,Utah Jazz,0.4512195121951219,0.48182687709230027,1,0
Atlanta Hawks,Boston Celtics,0.2997967479674797,0.8036824485891918,1,0
Golden State Warriors,Philadelphia 76ers,0.7723577235772358,0.4693766937669377,0,1
Memphis Grizzlies,Houston Rockets,0.4859078590785908,0.7333811573409852,1,0
Dallas Mavericks,Milwaukee Bucks,0.251793400286944,0.5262872628726287,1,1
Sacramento Kings,Portland Trail Blazers,0.2967479674796748,0.5416666666666666,0,0
Washington Wizards,Toronto Raptors,0.5741869918699187,0.665650406504065,0,0
Miami Heat,Indiana Pacers,0.4583333333333333,0.5236728837876614,1,0
Golden State Warriors,Brooklyn Nets,0.7821616451458632,0.3313008130081301,0,1
Minnesota Timberwolves,Detroit Pistons,0.5426829268292682,0.608739837398374,1,0
Chicago Bulls,Phoenix Suns,0.30952380952380953,0.3568202348690153,0,0
Los Angeles Lakers,Denver Nuggets,0.3802008608321377,0.5376016260162602,1,1
Charlotte Hornets,Minnesota Timberwolves,0.4380081300813008,0.5181731229076997,1,1
Cleveland Cavaliers,Detroit Pistons,0.5994739359158298,0.5817790530846485,0,1
Orlando Magic,Indiana Pacers,0.4316116690578671,0.5411020776874436,1,0
Philadelphia 76ers,Utah Jazz,0.4888211382113821,0.46657633242999097,1,1
New York Knicks,Los Angeles Clippers,0.5010162601626016,0.4156504065040651,1,1
Portland Trail Blazers,Memphis Grizzlies,0.5588235294117647,0.46646341463414637,0,1
Milwaukee Bucks,Washington Wizards,0.5040650406504065,0.5913438546150167,1,0
Oklahoma City Thunder,New Orleans Pelicans,0.48272357723577236,0.49115255858440937,0,0
Dallas Mavericks,Boston Celtics,0.24525745257452577,0.8080397470641373,1,0
San Antonio Spurs,Atlanta Hawks,0.6793400286944046,0.2924438067910091,1,1
Denver Nuggets,Sacramento Kings,0.5547584887613582,0.28694404591104733,0,1
Chicago Bulls,Los Angeles Lakers,0.3,0.4019873532068654,0,0
Washington Wizards,Charlotte Hornets,0.5695573622402891,0.46006695361071254,0,0
Brooklyn Nets,Cleveland Cavaliers,0.3165949306551889,0.6147244805781392,0,0
Portland Trail Blazers,Philadelphia 76ers,0.5370370370370371,0.5059780009564802,0,0
