Home Win %,Visitor Win %,Home Won
0.622,0.335,1
0.62,0.465,1
0.445,0.25,1
0.623,0.57,0
0.274,0.597,0
0.332,0.323,0
0.663,0.424,1
0.489,0.44,1
0.378,0.402,0
0.429,0.471,1
0.444,0.45,0
0.627,0.493,1
0.544,0.6,1
0.568,0.569,0
0.453,0.74,0
0.697,0.463,1
0.602,0.561,1
0.432,0.562,1
0.247,0.452,0
0.625,0.687,1
0.632,0.33,1
0.435,0.396,1
0.486,0.568,0
0.271,0.607,0
0.319,0.388,0
0.439,0.473,0
0.444,0.448,0
0.549,0.615,1
0.575,0.612,1
0.608,0.438,1
0.483,0.745,0
0.244,0.567,0
0.446,0.459,0
0.39,0.491,0
0.441,0.268,1
0.327,0.493,0
0.316,0.575,0
0.612,0.678,1
0.433,0.47,0
0.44,0.442,1
0.667,0.466,1
0.617,0.241,1
0.581,0.453,1
0.432,0.621,0
0.441,0.615,1
0.624,0.749,0
0.621,0.54,1
0.572,0.383,1
0.313,0.338,0
0.581,0.463,1
0.613,0.657,1
0.433,0.682,0
0.618,0.385,1
0.446,0.586,0
0.627,0.485,1
0.265,0.5,0
0.452,0.239,1
0.473,0.262,1
0.606,0.752,0
0.629,0.434,1
0.436,0.625,0
0.573,0.392,0
0.348,0.479,1
0.436,0.661,0
0.379,0.618,0
0.44,0.31,1
0.61,0.439,0
0.633,0.236,1
0.446,0.545,0
0.634,0.466,1
0.493,0.321,0
0.259,0.441,0
0.453,0.431,1
0.433,0.629,0
0.487,0.597,1
0.47,0.388,1
0.577,0.579,1
0.444,0.435,1
0.387,0.589,1
0.673,0.664,0
0.638,0.434,1
0.743,0.55,0
0.566,0.452,0
0.473,0.426,1
0.257,0.639,0
0.487,0.622,0
0.585,0.384,1
0.633,0.603,1
0.438,0.572,0
0.48,0.318,1
0.395,0.427,1
0.481,0.667,0
0.346,0.442,0
0.48,0.594,0
0.747,0.445,1
0.643,0.428,1
0.447,0.637,0
0.233,0.393,0
0.578,0.608,0
0.476,0.541,1
0.254,0.434,0
0.643,0.614,1
0.676,0.565,1
0.445,0.628,1
0.476,0.401,0
0.421,0.671,0
0.422,0.598,0
0.231,0.614,0
0.482,0.636,1
0.473,0.571,0
0.343,0.648,0
0.603,0.439,1
0.252,0.452,0
0.441,0.44,1
0.619,0.389,1
0.534,0.68,0
0.569,0.487,0
0.427,0.619,1
0.315,0.429,0
0.674,0.471,1
0.449,0.467,1
0.583,0.229,1
0.476,0.619,0
0.75,0.629,1
0.607,0.564,1
0.397,0.435,1
0.397,0.684,0
0.64,0.445,0
0.623,0.437,1
0.574,0.622,1
0.459,0.249,1
0.538,0.611,1
0.478,0.341,1
0.42,0.324,0
0.443,0.677,0
0.226,0.754,0
0.436,0.429,1
0.482,0.481,1
0.588,0.616,1
0.611,0.338,1
0.393,0.474,0
0.247,0.687,0
0.632,0.57,0
