Home,Home Points,Visitor,Visitor Points
Washington Wizards,92,Chicago Bulls,101
Miami Heat,118,Cleveland Cavaliers,94
Minnesota Timberwolves,120,Atlanta Hawks,123
New Orleans Pelicans,114,Dallas Mavericks,112
Denver Nuggets,102,San Antonio Spurs,99
Phoenix Suns,102,Oklahoma City Thunder,118
Los Angeles Lakers,107,Los Angeles Clippers,118
Milwaukee Bucks,129,Brooklyn Nets,115
New Orleans Pelicans,104,Houston Rockets,108
Washington Wizards,130,Charlotte Hornets,126
Atlanta Hawks,111,Cleveland Cavaliers,108
Memphis Grizzlies,103,Boston Celtics,112
Utah Jazz,129,New York Knicks,97
Phoenix Suns,118,Denver Nuggets,122
Portland Trail Blazers,105,Golden State Warriors,115
Los Angeles Clippers,111,San Antonio Spurs,122
Orlando Magic,109,Detroit Pistons,107
Miami Heat,104,Minnesota Timberwolves,113
Toronto Raptors,95,Chicago Bulls,89
Dallas Mavericks,105,Oklahoma City Thunder,103
Portland Trail Blazers,129,Philadelphia 76ers,95
Los Angeles Lakers,121,Sacramento Kings,114
Indiana Pacers,116,Atlanta Hawks,108
Charlotte Hornets,125,Orlando Magic,100
Houston Rockets,113,Memphis Grizzlies,101
San Antonio Spurs,120,Boston Celtics,111
New Orleans Pelicans,123,Minnesota Timberwolves,114
Oklahoma City Thunder,122,Dallas Mavericks,102
Phoenix Suns,109,Golden State Warriors,132
Toronto Raptors,122,Utah Jazz,116
Milwaukee Bucks,121,Detroit Pistons,98
Denver Nuggets,115,New York Knicks,108
Sacramento Kings,108,Portland Trail Blazers,113
Los Angeles Clippers,113,Philadelphia 76ers,119
Charlotte Hornets,84,Dallas Mavericks,122
Cleveland Cavaliers,92,Miami Heat,117
Washington Wizards,114,Atlanta Hawks,98
Brooklyn Nets,126,New Orleans Pelicans,121
Boston Celtics,115,Minnesota Timberwolves,102
Chicago Bulls,84,Orlando Magic,112
Memphis Grizzlies,94,Detroit Pistons,101
Phoenix Suns,127,Philadelphia 76ers,132
Los Angeles Lakers,100,Oklahoma City Thunder,107
San Antonio Spurs,125,Toronto Raptors,107
Sacramento Kings,113,Denver Nuggets,117
Golden State Warriors,134,Houston Rockets,135
