Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Memphis Grizzlies,130,Detroit Pistons,117,Memphis Grizzlies
Los Angeles Lakers,97,Utah Jazz,112,Los Angeles Lakers
Toronto Raptors,112,Orlando Magic,101,Toronto Raptors
Phoenix Suns,100,Golden State Warriors,117,Phoenix Suns
Detroit Pistons,98,Toronto Raptors,108,Detroit Pistons
Brooklyn Nets,114,Chicago Bulls,105,Brooklyn Nets
Miami Heat,93,Oklahoma City Thunder,115,Miami Heat
New York Knicks,109,Cleveland Cavaliers,123,New York Knicks
Milwaukee Bucks,102,Orlando Magic,86,Milwaukee Bucks
Minnesota Timberwolves,113,Memphis Grizzlies,94,Minnesota Timberwolves
San Antonio Spurs,98,Sacramento Kings,85,San Antonio Spurs
Denver Nuggets,88,Portland Trail Blazers,82,Denver Nuggets
Los Angeles Clippers,100,New Orleans Pelicans,113,Los Angeles Clippers
Indiana Pacers,93,Charlotte Hornets,119,Indiana Pacers
Atlanta Hawks,113,Philadelphia 76ers,121,Atlanta Hawks
Washington Wizards,113,Boston Celtics,101,Washington Wizards
Dallas Mavericks,97,Phoenix Suns,124,Dallas Mavericks
Utah Jazz,119,Golden State Warriors,79,Utah Jazz
Los Angeles Lakers,99,Houston Rockets,105,Los Angeles Lakers
Boston Celtics,110,Brooklyn Nets,97,Boston Celtics
Chicago Bulls,87,Detroit Pistons,119,Chicago Bulls
Cleveland Cavaliers,98,New York Knicks,110,Cleveland Cavaliers
Miami Heat,116,Toronto Raptors,109,Miami Heat
Minnesota Timberwolves,112,Denver Nuggets,106,Minnesota Timberwolves
New Orleans Pelicans,122,San Antonio Spurs,98,New Orleans Pelicans
Oklahoma City Thunder,137,Memphis Grizzlies,123,Oklahoma City Thunder
Orlando Magic,101,Washington Wizards,92,Orlando Magic
Philadelphia 76ers,130,Milwaukee Bucks,95,Philadelphia 76ers
Los Angeles Clippers,100,Los Angeles Lakers,115,Los Angeles Clippers
Portland Trail Blazers,102,Utah Jazz,93,Portland Trail Blazers
Sacramento Kings,96,Houston Rockets,83,Sacramento Kings
Golden State Warriors,113,San Antonio Spurs,92,Golden State Warriors
Toronto Raptors,114,Washington Wizards,106,Toronto Raptors
Philadelphia 76ers,130,Miami Heat,103,Philadelphia 76ers
Portland Trail Blazers,95,New Orleans Pelicans,97,Portland Trail Blazers
Boston Celtics,113,Milwaukee Bucks,107,Boston Celtics
Cleveland Cavaliers,80,Indiana Pacers,98,Cleveland Cavaliers
Oklahoma City Thunder,116,Utah Jazz,108,Oklahoma City Thunder
Houston Rockets,104,Minnesota Timberwolves,101,Houston Rockets
Philadelphia 76ers,103,Miami Heat,113,Philadelphia 76ers
Golden State Warriors,116,San Antonio Spurs,101,Golden State Warriors
Toronto Raptors,130,Washington Wizards,119,Toronto Raptors
Boston Celtics,120,Milwaukee Bucks,106,Boston Celtics
Portland Trail Blazers,102,New Orleans Pelicans,111,Portland Trail Blazers
Cleveland Cavaliers,100,Indiana Pacers,97,Cleveland Cavaliers
Oklahoma City Thunder,95,Utah Jazz,102,Oklahoma City Thunder
Houston Rockets,102,Minnesota Timberwolves,82,Houston Rockets
Miami Heat,108,Philadelphia 76ers,128,Miami Heat
New Orleans Pelicans,119,Portland Trail Blazers,102,New Orleans Pelicans
San Antonio Spurs,97,Golden State Warriors,110,San Antonio Spurs
Indiana Pacers,92,Cleveland Cavaliers,90,Indiana Pacers
Washington Wizards,122,Toronto Raptors,103,Washington Wizards
Milwaukee Bucks,116,Boston Celtics,92,Milwaukee Bucks
Miami Heat,102,Philadelphia 76ers,106,Miami Heat
New Orleans Pelicans,131,Portland Trail Blazers,123,New Orleans Pelicans
Minnesota Timberwolves,121,Houston Rockets,105,Minnesota Timberwolves
Utah Jazz,115,Oklahoma City Thunder,102,Utah Jazz
Milwaukee Bucks,104,Boston Celtics,102,Milwaukee Bucks
San Antonio Spurs,103,Golden State Warriors,90,San Antonio Spurs
Washington Wizards,106,Toronto Raptors,98,Washington Wizards
Indiana Pacers,100,Cleveland Cavaliers,104,Indiana Pacers
Minnesota Timberwolves,100,Houston Rockets,119,Minnesota Timberwolves
Utah Jazz,113,Oklahoma City Thunder,96,Utah Jazz
Boston Celtics,92,Milwaukee Bucks,87,Boston Celtics
Philadelphia 76ers,104,Miami Heat,91,Philadelphia 76ers
Golden State Warriors,99,San Antonio Spurs,91,Golden State Warriors
Cleveland Cavaliers,98,Indiana Pacers,95,Cleveland Cavaliers
Toronto Raptors,108,Washington Wizards,98,Toronto Raptors
Houston Rockets,122,Minnesota Timberwolves,104,Houston Rockets
Oklahoma City Thunder,107,Utah Jazz,99,Oklahoma City Thunder
Milwaukee Bucks,97,Boston Celtics,86,Milwaukee Bucks
Washington Wizards,92,Toronto Raptors,102,Washington Wizards
Indiana Pacers,121,Cleveland Cavaliers,87,Indiana Pacers
Utah Jazz,96,Oklahoma City Thunder,91,Utah Jazz
Boston Celtics,112,Milwaukee Bucks,96,Boston Celtics
Golden State Warriors,123,New Orleans Pelicans,101,Golden State Warriors
Cleveland Cavaliers,105,Indiana Pacers,101,Cleveland Cavaliers
Houston Rockets,110,Utah Jazz,96,Houston Rockets
Boston Celtics,117,Philadelphia 76ers,101,Boston Celtics
Toronto Raptors,112,Cleveland Cavaliers,113,Toronto Raptors
Golden State Warriors,121,New Orleans Pelicans,116,Golden State Warriors
Houston Rockets,108,Utah Jazz,116,Houston Rockets
Toronto Raptors,110,Cleveland Cavaliers,128,Toronto Raptors
Boston Celtics,108,Philadelphia 76ers,103,Boston Celtics
New Orleans Pelicans,119,Golden State Warriors,100,New Orleans Pelicans
Utah Jazz,92,Houston Rockets,113,Utah Jazz
Philadelphia 76ers,98,Boston Celtics,101,Philadelphia 76ers
Cleveland Cavaliers,105,Toronto Raptors,103,Cleveland Cavaliers
New Orleans Pelicans,92,Golden State Warriors,118,New Orleans Pelicans
Utah Jazz,87,Houston Rockets,100,Utah Jazz
Philadelphia 76ers,103,Boston Celtics,92,Philadelphia 76ers
Cleveland Cavaliers,128,Toronto Raptors,93,Cleveland Cavaliers
Houston Rockets,112,Utah Jazz,102,Houston Rockets
Golden State Warriors,113,New Orleans Pelicans,104,Golden State Warriors
Boston Celtics,114,Philadelphia 76ers,112,Boston Celtics
Boston Celtics,108,Cleveland Cavaliers,83,Boston Celtics
Houston Rockets,106,Golden State Warriors,119,Houston Rockets
Boston Celtics,107,Cleveland Cavaliers,94,Boston Celtics
Houston Rockets,127,Golden State Warriors,105,Houston Rockets
Cleveland Cavaliers,116,Boston Celtics,86,Cleveland Cavaliers
Golden State Warriors,126,Houston Rockets,85,Golden State Warriors
Cleveland Cavaliers,111,Boston Celtics,102,Cleveland Cavaliers
Golden State Warriors,92,Houston Rockets,95,Golden State Warriors
Boston Celtics,96,Cleveland Cavaliers,83,Boston Celtics
Houston Rockets,98,Golden State Warriors,94,Houston Rockets
Cleveland Cavaliers,109,Boston Celtics,99,Cleveland Cavaliers
Golden State Warriors,115,Houston Rockets,86,Golden State Warriors
Boston Celtics,79,Cleveland Cavaliers,87,Boston Celtics
Houston Rockets,92,Golden State Warriors,101,Houston Rockets
Golden State Warriors,124,Cleveland Cavaliers,114,Golden State Warriors
Golden State Warriors,122,Cleveland Cavaliers,103,Golden State Warriors
Cleveland Cavaliers,102,Golden State Warriors,110,Cleveland Cavaliers
Cleveland Cavaliers,85,Golden State Warriors,108,Cleveland Cavaliers
