Home,Home Points,Visitor,Visitor Points
San Antonio Spurs,86,Golden State Warriors,92
New York Knicks,89,Toronto Raptors,93
Cleveland Cavaliers,109,Atlanta Hawks,94
Orlando Magic,107,Milwaukee Bucks,98
Boston Celtics,100,Charlotte Hornets,114
Brooklyn Nets,111,Washington Wizards,120
Minnesota Timberwolves,105,Houston Rockets,129
New Orleans Pelicans,116,Chicago Bulls,121
Oklahoma City Thunder,112,Los Angeles Lakers,79
Utah Jazz,92,Dallas Mavericks,101
Phoenix Suns,101,Sacramento Kings,105
Indiana Pacers,102,New York Knicks,90
Detroit Pistons,93,Miami Heat,99
Toronto Raptors,122,Philadelphia 76ers,98
San Antonio Spurs,102,Oklahoma City Thunder,98
Los Angeles Clippers,110,Memphis Grizzlies,84
Boston Celtics,98,Miami Heat,88
Brooklyn Nets,96,Toronto Raptors,103
Chicago Bulls,115,Philadelphia 76ers,105
Charlotte Hornets,117,Orlando Magic,103
Cleveland Cavaliers,110,Detroit Pistons,112
Dallas Mavericks,91,San Antonio Spurs,96
Houston Rockets,116,Sacramento Kings,81
Milwaukee Bucks,92,Indiana Pacers,97
Minnesota Timberwolves,144,New Orleans Pelicans,109
Washington Wizards,109,Atlanta Hawks,98
Golden State Warriors,125,Memphis Grizzlies,104
Los Angeles Lakers,101,Utah Jazz,96
Phoenix Suns,114,Los Angeles Clippers,105
Portland Trail Blazers,107,Denver Nuggets,99
Toronto Raptors,90,Indiana Pacers,100
Golden State Warriors,104,Houston Rockets,78
Atlanta Hawks,102,Boston Celtics,101
Oklahoma City Thunder,108,Dallas Mavericks,70
Cleveland Cavaliers,106,Detroit Pistons,101
Miami Heat,123,Charlotte Hornets,91
San Antonio Spurs,106,Memphis Grizzlies,74
Los Angeles Clippers,115,Portland Trail Blazers,95
Toronto Raptors,98,Indiana Pacers,87
Oklahoma City Thunder,84,Dallas Mavericks,85
Golden State Warriors,115,Houston Rockets,106
Atlanta Hawks,89,Boston Celtics,72
San Antonio Spurs,94,Memphis Grizzlies,68
Miami Heat,115,Charlotte Hornets,103
Cleveland Cavaliers,107,Detroit Pistons,90
Los Angeles Clippers,102,Portland Trail Blazers,81
Dallas Mavericks,102,Oklahoma City Thunder,131
Indiana Pacers,85,Toronto Raptors,101
Houston Rockets,97,Golden State Warriors,96
Detroit Pistons,91,Cleveland Cavaliers,101
Boston Celtics,111,Atlanta Hawks,103
Memphis Grizzlies,87,San Antonio Spurs,96
Indiana Pacers,100,Toronto Raptors,83
Charlotte Hornets,96,Miami Heat,80
Dallas Mavericks,108,Oklahoma City Thunder,119
Portland Trail Blazers,96,Los Angeles Clippers,88
Memphis Grizzlies,95,San Antonio Spurs,116
Houston Rockets,94,Golden State Warriors,121
Boston Celtics,104,Atlanta Hawks,95
Detroit Pistons,98,Cleveland Cavaliers,100
Charlotte Hornets,89,Miami Heat,85
Oklahoma City Thunder,118,Dallas Mavericks,104
Portland Trail Blazers,98,Los Angeles Clippers,84
Toronto Raptors,102,Indiana Pacers,99
Atlanta Hawks,110,Boston Celtics,83
Miami Heat,88,Charlotte Hornets,90
Los Angeles Clippers,98,Portland Trail Blazers,108
Golden State Warriors,114,Houston Rockets,81
Boston Celtics,92,Atlanta Hawks,104
Indiana Pacers,101,Toronto Raptors,83
Charlotte Hornets,90,Miami Heat,97
Portland Trail Blazers,106,Los Angeles Clippers,103
San Antonio Spurs,124,Oklahoma City Thunder,92
Miami Heat,106,Charlotte Hornets,73
Golden State Warriors,118,Portland Trail Blazers,106
Toronto Raptors,89,Indiana Pacers,84
Cleveland Cavaliers,104,Atlanta Hawks,93
San Antonio Spurs,97,Oklahoma City Thunder,98
Toronto Raptors,96,Miami Heat,102
Golden State Warriors,110,Portland Trail Blazers,99
Cleveland Cavaliers,123,Atlanta Hawks,98
Toronto Raptors,96,Miami Heat,92
Atlanta Hawks,108,Cleveland Cavaliers,121
Oklahoma City Thunder,96,San Antonio Spurs,100
Miami Heat,91,Toronto Raptors,95
Portland Trail Blazers,120,Golden State Warriors,108
Atlanta Hawks,99,Cleveland Cavaliers,100
Oklahoma City Thunder,111,San Antonio Spurs,97
Miami Heat,94,Toronto Raptors,87
Portland Trail Blazers,125,Golden State Warriors,132
San Antonio Spurs,91,Oklahoma City Thunder,95
Toronto Raptors,99,Miami Heat,91
Golden State Warriors,125,Portland Trail Blazers,121
Oklahoma City Thunder,113,San Antonio Spurs,99
Miami Heat,103,Toronto Raptors,91
Toronto Raptors,116,Miami Heat,89
Golden State Warriors,102,Oklahoma City Thunder,108
Cleveland Cavaliers,115,Toronto Raptors,84
Golden State Warriors,118,Oklahoma City Thunder,91
Cleveland Cavaliers,108,Toronto Raptors,89
Toronto Raptors,99,Cleveland Cavaliers,84
Oklahoma City Thunder,133,Golden State Warriors,105
Toronto Raptors,105,Cleveland Cavaliers,99
Oklahoma City Thunder,118,Golden State Warriors,94
Cleveland Cavaliers,116,Toronto Raptors,78
Golden State Warriors,120,Oklahoma City Thunder,111
Toronto Raptors,87,Cleveland Cavaliers,113
Oklahoma City Thunder,101,Golden State Warriors,108
Golden State Warriors,96,Oklahoma City Thunder,88
Golden State Warriors,104,Cleveland Cavaliers,89
Golden State Warriors,110,Cleveland Cavaliers,77
Cleveland Cavaliers,120,Golden State Warriors,90
Cleveland Cavaliers,97,Golden State Warriors,108
Golden State Warriors,97,Cleveland Cavaliers,112
Cleveland Cavaliers,115,Golden State Warriors,101
Golden State Warriors,89,Cleveland Cavaliers,93
