Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Thu, Nov 16, 2017",8:00p,Boston Celtics,92,Golden State Warriors,88,Boston Celtics,"18,624"
"Thu, Nov 16, 2017",10:30p,Phoenix Suns,116,Houston Rockets,142,Houston Rockets,"16,875"
"Fri, Nov 17, 2017",7:00p,Indiana Pacers,107,Detroit Pistons,100,Indiana Pacers,"17,188"
"Fri, Nov 17, 2017",7:00p,Washington Wizards,88,Miami Heat,91,Miami Heat,"17,551"
"Fri, Nov 17, 2017",7:30p,Brooklyn Nets,118,Utah Jazz,107,Brooklyn Nets,"14,495"
"Fri, Nov 17, 2017",7:30p,Cleveland Cavaliers,118,Los Angeles Clippers,113,Cleveland Cavaliers,"20,562"
"Fri, Nov 17, 2017",7:30p,Toronto Raptors,107,New York Knicks,84,Toronto Raptors,"19,800"
"Fri, Nov 17, 2017",8:00p,Chicago Bulls,123,Charlotte Hornets,120,Chicago Bulls,"20,493"
"Fri, Nov 17, 2017",8:00p,San Antonio Spurs,104,Oklahoma City Thunder,101,San Antonio Spurs,"18,418"
"Fri, Nov 17, 2017",8:30p,Dallas Mavericks,87,Minnesota Timberwolves,111,Minnesota Timberwolves,"19,459"
"Fri, Nov 17, 2017",10:00p,Sacramento Kings,86,Portland Trail Blazers,82,Sacramento Kings,"17,583"
"Fri, Nov 17, 2017",10:30p,Denver Nuggets,146,New Orleans Pelicans,114,Denver Nuggets,"16,816"
"Fri, Nov 17, 2017",10:30p,Los Angeles Lakers,113,Phoenix Suns,122,Phoenix Suns,"18,997"
"Sat, Nov 18, 2017",7:00p,Charlotte Hornets,102,Los Angeles Clippers,87,Charlotte Hornets,"17,640"
"Sat, Nov 18, 2017",7:00p,Orlando Magic,85,Utah Jazz,125,Utah Jazz,"19,157"
"Sat, Nov 18, 2017",7:30p,Atlanta Hawks,99,Boston Celtics,110,Boston Celtics,"16,381"
"Sat, Nov 18, 2017",7:30p,Philadelphia 76ers,116,Golden State Warriors,124,Golden State Warriors,"20,848"
"Sat, Nov 18, 2017",8:00p,Memphis Grizzlies,83,Houston Rockets,105,Houston Rockets,"17,266"
"Sat, Nov 18, 2017",9:00p,Dallas Mavericks,111,Milwaukee Bucks,79,Dallas Mavericks,"19,949"
"Sat, Nov 18, 2017",10:00p,Portland Trail Blazers,102,Sacramento Kings,90,Portland Trail Blazers,"19,522"
"Sun, Nov 19, 2017",3:30p,Toronto Raptors,100,Washington Wizards,91,Toronto Raptors,"19,800"
